#Table1
objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1237654382515912884,140.90685402274,54.2975338672141,18.78814,16.98447,16.07627,15.65547,15.32093,624954475785775104,GALAXY,0.1269284
1237654383589982372,141.030592427941,55.2994459010569,19.77112,18.25294,17.48941,17.07491,16.76008,623900039671998464,GALAXY,0.1009194
1237654383589982393,141.067987728002,55.3658193746712,19.62794,18.49739,17.84036,17.47652,17.20669,624980039431120896,GALAXY,0.1203115
1237655109440766053,141.06533912386,52.458250420345,19.18195,18.12457,17.46571,17.09415,16.84519,863667246034085888,GALAXY,0.1300578
1237657402420429025,140.903940296827,46.6465195294255,19.36081,18.10286,17.43817,17.07351,16.84289,937977465559607296,GALAXY,0.1257959
1237657628978970650,141.058290602266,42.8359891621167,20.06923,19.63073,19.43193,19.1271,19.22774,1352371034602366976,QSO,1.597307
1237657775545385113,140.932716432502,43.5544675358345,21.39225,18.92117,17.50494,16.98274,16.61205,979618719867103232,GALAXY,0.2236089
1237658203960639697,141.095238072249,40.0909101813001,17.89582,16.88517,16.45952,16.30645,16.38215,1056115323649943552,QSO,2.893982
1237660343934910654,140.910279948179,38.2771905602553,26.51629,19.85501,18.20441,17.61424,17.27208,1365883212873623552,GALAXY,0.3198072
1237660635989737653,141.072275978329,38.5199134726985,20.7577,18.51156,17.40651,16.92165,16.57148,1366913176347633664,GALAXY,0.1434157
1237660669811753158,140.950506341251,8.65830950313504,20.04564,18.36565,17.45451,16.96439,16.63927,1465961582361077760,GALAXY,0.1287695
1237660669811753356,140.902579139095,8.70929877352746,20.86835,18.81761,17.7832,17.33568,16.97347,1465963231628519424,GALAXY,0.1267826
1237660962403909820,140.916413520199,36.1421833445262,20.4497,18.70236,17.47018,16.94472,16.5463,1434529572472252416,GALAXY,0.1903533
1237661064412463352,140.906370862997,8.56815933468898,20.68045,18.83053,17.78107,17.311,16.96827,1465965430651774976,GALAXY,0.1295497
1237663548519022750,140.917053173415,64.1410163349527,19.94607,17.95385,16.89392,16.45507,16.06972,2012126419827582976,GALAXY,0.120865
1237664835932455112,140.962820076573,28.4926625833915,19.54529,19.02126,18.64181,18.33119,18.33298,2181041349476771840,GALAXY,0.215174
1237667113333096615,140.968420174949,25.1012722161862,21.43416,19.27998,17.82092,17.3137,16.96341,6521327814331095040,GALAXY,0.2171185
1237667429557076129,141.075986532103,20.0123388199859,21.17028,18.88733,17.66591,17.1848,16.85113,2577252294059911168,GALAXY,0.163178
1237667781742690473,141.064492018614,15.9374437122589,20.52409,18.65284,17.70337,17.24435,16.89418,2747364062030489600,GALAXY,0.1207823
1237668288540573982,140.917588044581,14.1284380898792,20.09595,19.25461,18.74477,18.32147,18.08236,2747234319658412032,GALAXY,0.1376938
1237668288540639551,140.960898766134,14.2289871134065,20.50317,18.49004,17.34892,16.87874,16.49004,2747229096978180096,GALAXY,0.1367794
1237671125373943908,140.906356408933,13.7603571628944,21.75127,19.24207,17.87103,17.36599,17.01887,2747253286233991168,GALAXY,0.1877488
1237648720139911345,140.9331958519,-0.870909809243291,20.98752,18.76457,17.67529,17.21169,16.87649,533734038880413696,GALAXY,0.1364875
1237650796754632952,141.020336951235,0.482384031105491,20.93089,18.93563,17.7345,17.21657,16.85304,533792038118778880,GALAXY,0.182026
1237650804799766787,140.921592792145,-1.60847927897933,19.80724,19.73459,19.83811,19.49471,19.71825,14124448291145144320,QSO,1.777929
1237655108366696744,140.946123152568,51.4174038565372,19.96922,18.53041,17.64214,17.17272,16.90945,863627113859672064,GALAXY,0.1728308
1237657776082321644,140.901958972111,43.9820164924387,20.3128,19.88659,19.85537,19.98209,19.71547,5287352512973920256,QSO,0.7438513
1237657873255235652,141.05458898285,39.7945303637864,19.62498,19.2027,19.22017,19.23796,19.24523,5224299912003606528,QSO,0.8289392
1237657874329174545,141.018409947643,40.6370252847138,21.81483,19.90263,18.84685,18.37608,18.09184,9342776099959232512,GALAXY,0.1606245
1237657874329239658,141.068808641303,40.7097104087962,19.85061,19.25838,19.0411,18.81089,18.85157,1056262108452251648,QSO,0.6327174
1237658205571580102,141.074375376791,41.5963341903115,20.5908,18.42267,17.27397,16.77518,16.40052,1057312690604632064,GALAXY,0.1496096
1237658300063285435,140.918084149472,5.96066639799679,20.36425,18.76259,17.89522,17.382,17.02685,1115888074253953024,GALAXY,0.1316162
1237658493336223971,140.970956344765,7.85342416135292,19.89176,19.31684,18.90972,18.58586,18.66924,1345552688959481856,GALAXY,0.1851248
1237660765379494008,141.018494571005,36.4218728871486,19.03056,18.67776,18.12892,17.68346,17.57386,1434531771495507968,QSO,0.1848132
1237661069781237997,140.901746219378,11.0196053527911,20.70673,18.74655,17.70365,17.24679,16.89484,1959199204861569024,GALAXY,0.1291086
1237663546370949226,140.923965774951,61.9999989760493,20.24685,19.52224,19.43498,19.30174,18.96744,8383652029755840512,QSO,2.277267
1237664091830091907,140.991088815454,29.820986984918,20.23543,18.19267,17.15077,16.64975,16.28936,2182009194436126720,GALAXY,0.1091331
1237664091830092018,141.075804717936,29.7395119583659,21.05948,19.25186,17.91787,17.36508,17.02327,6533767688938084352,GALAXY,0.2115796
1237667486457331818,140.926793935057,18.8870918975862,19.76228,19.41994,19.46851,19.24124,19.39431,2657229120932440064,QSO,0.6258472
1237667486457331866,141.012821622558,18.8078491149651,19.50097,18.32107,17.64905,17.25422,17.03515,2657243414583601152,GALAXY,0.1243032
1237667781205753978,140.989167765359,15.382589449438,19.52588,17.38504,16.11612,15.62376,15.28591,2747345370332817408,GALAXY,0.1795952
1237668288540639602,141.012885442769,14.1227197955966,20.72587,18.77093,17.72529,17.29748,16.91597,2747233769902598144,GALAXY,0.1409619
1237648720139976977,141.091602992909,-0.851048016154683,21.36194,18.7929,17.28374,16.74941,16.35267,14124423552133519360,GALAXY,0.2756929
1237651190287302810,140.985049720886,56.0021613578512,19.80257,17.55269,16.44995,15.98984,15.6017,507782264386512896,GALAXY,0.1210921
1237651190824370447,140.928528535004,56.700853195735,21.23787,19.30929,17.69033,17.10806,16.70428,6446003027463919616,GALAXY,0.2770717
1237651191361372287,140.922584396158,57.2654322322811,18.4985,18.17099,18.14338,18.23508,18.1433,507939494549284864,QSO,0.7751818
1237651540314423547,140.966653829338,61.6216150875789,19.52008,18.12168,17.23275,16.82086,16.49278,2012040657920616448,GALAXY,0.1620047
1237651752919498846,140.903463945579,1.09287542578464,22.03389,19.75982,18.65779,18.15834,17.77259,14126681948983416832,GALAXY,0.1446395
1237655108366696743,141.000986880273,51.3652322372358,21.75215,19.67748,18.18375,17.57803,17.11413,6451640773033351168,GALAXY,0.2248707
1237660635989737628,141.059476115493,38.4756550345303,20.27611,18.64649,17.66734,17.2074,16.90011,1366912626591819776,GALAXY,0.1423571
1237660635989737639,140.992403413383,38.5870647336828,19.06691,17.90242,17.24058,16.85571,16.6082,1366911527080192000,GALAXY,0.1439055
1237661068170559695,140.953926106622,9.73891982748876,22.6718,19.43559,17.9774,17.34708,17.00993,5977578626761381888,GALAXY,0.2164294
1237661069781303430,141.073991418962,11.1352777914127,18.1556,17.54295,16.97607,16.55188,16.42222,1959204977297614848,QSO,0.1334316
1237661922868854915,141.071532652728,9.96321316451863,19.62601,18.03753,17.14244,16.63796,16.29834,1466044595488974848,GALAXY,0.1373518
1237664835932520664,141.006375640576,28.585797494637,22.83801,19.25221,17.70551,17.15549,16.8173,2181040524843051008,GALAXY,0.2686379
1237667293727228020,141.021517539809,21.1970479315011,20.33036,19.93557,19.88795,19.82601,19.64543,6497588804203075584,QSO,2.188064
1237667783353434350,140.979108444521,17.1810737431903,20.16198,19.35801,19.22504,19.1307,18.82188,10750266438860429312,QSO,2.435246
1237668288540639669,141.048968684732,14.1763954559466,20.73244,18.75916,17.67718,17.25199,16.92316,2747219476251437056,GALAXY,0.1369931
1237668288540639721,141.066060101894,14.1696847841558,20.31533,18.25301,17.19994,16.79292,16.42905,2747218101861902336,GALAXY,0.1415384
1237650797291503768,140.984399811004,0.894757464622006,20.63515,18.72178,17.516,17.02172,16.65492,533791763240871936,GALAXY,0.1724948
1237650803726090561,140.998073426392,-2.54664458654958,22.28399,19.91183,18.45399,17.82194,17.3609,4257117245933901824,GALAXY,0.2311989
1237651192435441806,140.969414292137,58.3309172677241,19.5121,17.52717,16.50917,16.06315,15.71767,509004096733210624,GALAXY,0.1117512
1237651252563476556,141.053591209677,58.6219985954717,19.92215,18.45603,17.65442,17.19342,16.92071,546118386573142016,GALAXY,0.1695187
1237651538166350008,141.021376931751,59.5063629488448,20.8257,18.65161,17.36144,16.85773,16.49914,546106841701050368,GALAXY,0.1929607
1237654381978976404,141.058222033085,53.8298235790438,19.78119,19.63445,19.67383,19.57392,19.51656,8202218871790524416,QSO,1.813455
1237654651496104150,140.932819213747,50.0944867018643,19.62199,19.03156,18.31142,17.96126,17.63091,862447062921275392,QSO,0.2568744
1237654652033106169,140.962031610464,50.4596457425087,21.24226,19.67464,18.10933,17.56731,17.19653,6451447258986862592,GALAXY,0.2878601
1237654873214615856,140.909649301071,-0.631385705990709,21.02785,18.77398,17.70807,17.29009,16.93798,533736237903669248,GALAXY,0.1542021
1237655107292692703,140.994447952242,50.3943463928048,20.22449,18.15696,17.04733,16.54955,16.14733,862615013322418176,GALAXY,0.1492817
1237655108903764109,141.047371199161,51.9595569703336,19.62362,19.48072,19.27799,19.0553,19.03165,863695833336408064,QSO,1.529581
1237657242970685518,140.933228116794,45.9349258227184,20.13828,18.3851,17.39717,16.8956,16.56231,938015123832858624,GALAXY,0.1558551
1237657402420429021,140.935385200331,46.6134944201827,20.01631,18.65593,17.78105,17.31907,17.02272,937990109943326720,GALAXY,0.1981138
1237657633798553838,141.001239788454,48.6748393939076,21.69133,19.88876,18.40391,17.83584,17.40715,6452650120614008832,GALAXY,0.2693326
1237657773934379211,140.991460434882,41.918914673767,22.19126,19.89272,18.2496,17.67063,17.29713,1352211880294246400,GALAXY,0.3012578
1237657873255235875,140.926283443266,39.7711028947388,21.52602,19.07494,17.7739,17.27229,16.90645,5226642971265619968,GALAXY,0.1963954
1237657873792237679,141.054329400717,40.263287868123,19.8507,18.52694,17.76442,17.34687,17.03389,1057277506232543232,GALAXY,0.1476503
1237658203960574244,141.013399506792,40.0573128946296,20.73577,19.00442,17.75729,17.21367,16.87541,5224303760294303744,GALAXY,0.2223277
1237658203960574252,141.052583529783,40.0244330344121,19.12448,17.66883,16.82323,16.39099,16.12232,1057279155499984896,GALAXY,0.1399589
1237658423008624836,140.920990396261,4.77430634297603,19.80737,19.15693,18.55467,18.29806,17.96882,1115790492596987904,GALAXY,0.3533497
1237658492799352861,141.054563316673,7.41171156889753,19.60387,17.67498,16.64148,16.19604,15.82109,1345584299918780416,GALAXY,0.112141
1237660343934976034,141.009777441018,38.3338410212949,21.25029,19.13872,17.83513,17.41352,17.07105,1366911252202285056,GALAXY,0.2280161
1237660345008980055,141.080806595863,39.378639107987,19.90891,17.96382,17.03181,16.61882,16.26762,1366936815847630848,GALAXY,0.1030645
1237660412114370789,140.982776069852,7.17063953317281,19.86097,18.43288,17.59979,17.19115,16.94422,1345496338988558336,GALAXY,0.1610467
1237660669811818624,140.968288362578,8.7197294121517,19.69761,17.7717,16.72294,16.27101,15.89895,1466055590605252608,GALAXY,0.1330676
1237660669811818677,141.027637810955,8.67036924503786,19.70141,17.61439,16.49769,16.03016,15.64068,1465963506506426368,GALAXY,0.1327026
1237660670348689488,140.991927226156,9.1229691457152,19.69859,18.41667,17.83257,17.71411,17.31087,1466055865483159552,GALAXY,0.1064728
1237660963477913774,141.059847538454,37.1747528075542,21.24093,19.1066,17.67924,17.16696,16.88077,1365726807344572416,GALAXY,0.2439827
1237661137418059993,141.022346250183,32.7362073610124,19.99845,18.28306,17.41119,17.02431,16.68237,1792453042822473728,GALAXY,0.1143194
1237661137418060098,141.033946081522,32.7435998927425,22.31608,19.85856,18.21636,17.59467,17.19358,6539474704931248128,GALAXY,0.3140016
1237661137954996381,140.953020742033,33.2942698024081,20.65777,19.44659,19.14593,19.02282,18.87023,6541547834659067904,QSO,2.655354
1237661381696487667,140.900105789539,32.0946494246778,19.2672,17.24034,16.20939,15.78512,15.42764,2185467983256643584,GALAXY,0.1154389
1237663529727951001,140.916932710797,62.2596333548506,20.42476,18.70011,17.54121,17.04585,16.69928,2012041757432244224,GALAXY,0.1403702
1237663530802020432,141.026773631246,63.2254500322977,20.25106,18.17397,17.24267,16.81184,16.45652,2012124495682234368,GALAXY,0.116357
1237663531339022441,140.952252976092,63.7297271394007,21.52012,19.50452,17.82964,17.20053,16.86805,2012131092752001024,GALAXY,0.28993
1237663916273303753,140.983776836789,65.2691744777006,19.94284,18.22653,17.26272,16.77606,16.46518,2113338939048749056,GALAXY,0.1194178
1237664091830157433,141.060518611551,29.9125485693655,20.48647,18.62771,17.22677,16.66027,16.30825,2181994351029151744,GALAXY,0.2113226
1237664092367028471,140.906790811853,30.339722868524,20.37993,18.64002,17.64702,17.22853,16.86847,2182014142238451712,GALAXY,0.106629
1237664093977903194,140.995514600774,31.6271494099946,19.03044,17.04983,16.03555,15.50532,15.16995,2182153505337272320,GALAXY,0.1178257
1237664093977968865,141.075709233882,31.8298393328363,19.39638,19.17999,18.98564,18.89065,18.69559,6539481851756828672,QSO,1.960971
1237664834858582252,141.057263533407,27.5807673921736,21.33632,19.96241,18.34576,17.79824,17.38406,6526882547141728256,GALAXY,0.248164
1237664835395518633,141.042349056168,28.0935039319063,20.41791,18.11964,16.9873,16.45975,16.03598,2181041074598864896,GALAXY,0.1443288
1237664836469456927,141.062770566296,28.9403462216008,20.54323,18.50803,17.15234,16.67491,16.33614,2183181273999108096,GALAXY,0.1767779
1237664871360168137,140.955396350519,34.3343485584533,20.03645,18.34766,17.37825,16.94179,16.61497,1793655908560037888,GALAXY,0.1314346
1237664878338637970,140.96468197352,28.2569830106634,19.69847,19.1981,19.09124,19.02086,18.8076,6527065066071939072,QSO,0.7444767
1237665129064169587,141.077239126921,27.3143245414301,19.59539,19.25445,18.96173,18.78906,18.55791,12773346129401370624,QSO,2.157757
1237667112796160202,140.97596965051,24.6907301474458,20.50423,19.6805,19.64726,19.5038,19.22981,6501130880760961024,QSO,2.267913
1237667142330614080,141.073563593422,24.4804704554642,21.6625,19.55448,18.03742,17.46685,17.13577,2579458464241707008,GALAXY,0.25793
1237667142867550356,141.056428812356,24.9542121822735,21.19279,19.02526,17.7551,17.24885,16.87271,2579585457834715136,GALAXY,0.183427
1237667212122652772,140.916185792767,23.1674118784961,21.26191,19.91446,19.4262,19.10886,18.9862,2611127973356529664,GALAXY,0.92739
1237667212659654731,141.089825172277,23.6640365820467,19.22664,19.11302,19.07996,18.87454,18.78179,6501149022702819328,QSO,1.928235
1237667252924448949,141.019441694353,21.5213881303306,19.33509,18.17607,17.5175,17.06456,16.84771,2577288028187813888,GALAXY,0.1534387
1237667252924448984,140.924090744599,21.5282809710865,20.6136,18.84951,17.56504,16.99928,16.63546,2577277033071536128,GALAXY,0.2073057
1237667486457397374,141.021829208857,18.9812914906157,19.66061,17.89354,16.87876,16.40971,16.10852,2657240116048717824,GALAXY,0.1258707
1237667537466556659,140.992420771535,18.2314490367086,21.77767,19.54507,18.0235,17.45223,17.11133,2657188439002212352,GALAXY,0.2164882
1237667537466622213,141.006852320368,18.3026716866896,19.48757,19.22572,18.97721,18.93538,18.79038,10755859105023547392,QSO,0.809417
1237667538003558557,141.080557011186,18.7366302011664,19.90598,18.24151,17.39826,16.9994,16.63486,2657243689461508096,GALAXY,0.1254403
1237668288540639387,141.011599320139,14.2432960233463,20.9567,18.8745,17.81926,17.3679,17.01313,2747232120635156480,GALAXY,0.1403209
1237668288540639558,140.974160178892,14.1845481636637,20.20815,18.22381,17.1265,16.66838,16.27952,2747230196489807872,GALAXY,0.1391223
1237668288540639753,141.095415897057,14.1568957141771,20.63748,18.62019,17.47005,17.01708,16.64272,2747220850640971776,GALAXY,0.1393293
1237668289614512307,141.077017647866,15.0409689335149,20.09947,18.07354,16.95513,16.48772,16.11076,2747360488617699328,GALAXY,0.1467869
1237670965922889817,141.005741728125,15.1747337631885,19.19596,17.70761,16.8779,16.50407,16.20344,2747348393989793792,GALAXY,0.1209392
1237671122689458236,141.066142161924,11.6461909883973,19.24649,19.19365,18.93723,18.89563,18.9273,1959189309256919040,QSO,1.345181
1237671124300136667,140.964129055808,12.8483270046871,19.75259,18.76667,17.9112,17.53136,17.22648,2902643146032703488,GALAXY,0.255648
1237671125373943966,140.95794283317,13.7668965977695,19.72838,18.4067,17.6771,17.3039,17.02826,2747229646733993984,GALAXY,0.1395571
1237648721213653168,141.016910415047,-0.00571410631267367,19.48266,19.35238,19.40898,19.2722,19.24137,14124678913709070336,QSO,1.720295
1237650795680891247,141.055313213713,-0.301557980943677,21.22299,19.74789,18.75678,18.22619,17.87837,14124681662488139776,GALAXY,0.2277494
1237650796754632991,141.092742229499,0.474600876858601,20.28165,19.99347,19.38837,19.95045,19.44866,14124674515662559232,GALAXY,0.2622072
1237651190287368325,141.057196749811,56.1360699297095,19.20185,17.54833,16.44561,15.95011,15.60817,507822121683019776,GALAXY,0.1802157
1237651190824370378,140.911387916637,56.6451601990862,20.40747,19.96609,19.4901,19.29034,19.28896,9228120401066088448,QSO,1.363577
1237651191898439828,140.978561727464,57.7892782934995,19.90954,19.15885,19.01422,18.94576,18.60473,8382512935675910144,QSO,2.559304
1237651192435376317,140.943723435938,58.172185785548,21.57369,19.78658,18.14706,17.55202,17.19523,509002172587862016,GALAXY,0.2859269
1237651250952405177,141.090022956646,57.048288110621,19.82255,19.61715,19.48023,19.37644,19.33509,9226873555635165184,QSO,1.338479
1237651252026343478,140.904844163004,57.9365472348251,17.652,17.56225,17.35604,17.31382,17.39815,508989803082049536,QSO,1.155486
1237651252026343544,140.934506970451,57.8675472494807,19.54277,18.23484,17.2481,16.7719,16.43213,508991177471584256,GALAXY,0.1561562
1237651271891419359,141.021870377078,59.2537455453679,21.08673,19.34512,17.90772,17.36556,17.03376,6431170615219345408,GALAXY,0.2261714
1237651538166349954,141.073118646976,59.3407898162724,19.40569,18.84765,18.75306,18.747,18.54547,9230391992558835712,QSO,2.443933
1237651753456369901,140.930005685108,1.41987463996093,19.13391,17.95879,17.30077,16.82699,16.60611,532558934637045760,GALAXY,0.1056394
1237653613722140876,140.920409603617,54.4244518060988,22.67784,19.67331,17.93737,17.2873,16.92879,624948703349729280,GALAXY,0.3350661
1237653614259208435,141.023836208787,55.0302435858153,21.01058,18.90882,17.60565,17.0812,16.67814,624980864064841728,GALAXY,0.1806506
1237653614259273803,141.095910860015,55.1017926997519,20.15222,19.9369,19.66028,19.64215,21.15036,8202423380953290752,QSO,1.473625
1237654381441908953,141.001146077686,53.0804372947197,21.88911,19.73118,17.97945,17.37759,17.03349,623755179015038976,GALAXY,0.3414965
1237654381978910856,141.039608749676,53.6615152553107,21.33399,18.93351,17.65391,17.14014,16.81366,623773595834804224,GALAXY,0.1916919
1237654382515912857,140.913955048263,54.1916912450925,20.69067,18.73509,17.42793,16.92537,16.5575,624951727006705664,GALAXY,0.1859441
1237654604243665057,141.062145142068,2.71332230752214,20.64825,18.76751,17.72382,17.26662,16.91863,639569184140847104,GALAXY,0.1330904
1237654652570108142,141.020035637372,51.0336754608111,21.74723,19.25574,17.89963,17.36052,17.00504,6451450557521745920,GALAXY,0.2182273
1237654653644177508,140.904780590195,52.2221836005857,19.62424,17.72921,16.93451,16.47061,16.16299,863695283580594176,GALAXY,0.1041848
1237654872140939580,141.025936624378,-1.51525070052051,24.58774,19.92646,18.16016,17.53582,17.21007,4257216476858308608,GALAXY,0.3397637
1237655108366696644,141.063600557888,51.300505952134,20.66051,18.70267,17.48042,16.96962,16.59739,862606217229395968,GALAXY,0.1819473
1237655108366696678,140.938306450879,51.4528094469612,19.93204,19.51916,19.23004,19.15036,18.84859,6451640223277537280,QSO,2.174624
1237657400809422983,140.98293892898,45.0263370886865,20.32569,18.24166,17.15525,16.70699,16.34474,937912869251475456,GALAXY,0.1407127
1237657401883492548,140.970441503186,46.1287976492597,21.01672,19.35328,17.98353,17.42973,16.95939,6544894748137904128,GALAXY,0.2650616
1237657776082452526,141.049407037816,44.1297729410967,18.57564,18.64192,18.63861,18.31796,18.32651,979640160343844864,QSO,1.811881
1237658204497576075,140.954589502934,40.509407845689,20.78163,18.87184,17.69493,17.23068,16.87124,1057290150616262656,GALAXY,0.1596621
1237658425156174162,141.01506728361,6.46579055638981,23.45851,19.88837,18.3969,17.78744,17.3945,5483162882266126336,GALAXY,0.3606427
