09 57 28.34 +02 25 42.2 BL 1.54 S 46.03 0.10 0.52 8.40 0.43 0.36 -0.49 0.27 0.58
09 57 40.78 +02 02 07.9 BL 1.48 I 45.88 0.30 0.64 8.24 0.39 0.45 -0.47 0.40 0.68
09 57 43.33 +02 48 23.8 BL 1.36 S 45.84 0.16 0.66 8.24 0.36 0.44 -0.51 0.66 0.18
09 57 49.02 +01 53 10.1 NL 0.32 I 43.89 0.21 0.71 8.61 0.30 0.29 -2.84 0.15 0.73
09 57 50.20 +02 25 48.3 BL 1.24 Z 44.93 0.20 0.52 7.28 0.41 0.38 -0.46 0.28 0.60
09 57 52.17 +01 51 20.1 BL 4.16 Z 46.28 0.10 0.69 8.71 0.42 0.41 -0.54 0.36 0.53
09 57 52.17 +01 51 20.1 BL 4.17 I 46.26 0.07 0.54 8.66 0.44 0.38 -0.51 0.31 0.52
09 57 53.49 +02 47 36.1 BL 3.61 I 46.24 0.27 0.75 8.00 0.40 0.49  0.12 0.46 0.69
09 57 54.11 +02 55 08.4 BL 1.57 S 46.21 0.49 0.66 8.70 0.41 0.39 -0.61 0.32 0.65
09 57 54.70 +02 38 32.9 BL 1.60 S 46.14 0.24 0.54 8.72 0.41 0.40 -0.69 0.39 0.47
09 57 55.08 +02 48 06.6 BL 1.11 S 45.94 0.17 0.62 8.43 0.43 0.36 -0.60 0.28 0.57
09 57 55.34 +02 25 10.9 BL 2.74 I 45.51 0.07 0.45 8.07 0.45 0.36 -0.68 0.36 0.44
09 57 55.48 +02 24 01.1 BL 3.10 I 46.82 0.47 0.78 8.44 0.45 0.42  0.27 0.24 0.79
09 57 59.50 +02 04 36.1 BL 2.03 S 46.82 0.46 0.70 8.94 0.40 0.38 -0.23 0.56 0.32
09 57 59.91 +02 16 34.5 BL 1.54 I 44.68 0.10 0.67 8.26 0.39 0.45 -1.70 0.37 0.46
09 58 01.61 +02 04 28.9 BL 1.23 Z 45.43 0.26 0.76 8.28 0.39 0.33 -0.96 0.26 0.76
09 58 02.10 +02 15 41.0 OD 0.94 I 45.05 0.06 0.59 9.44 0.33 0.38 -2.50 0.33 0.47
09 58 05.10 +02 04 45.8 NL 0.67 I 44.91 0.08 0.55 9.33 0.39 0.34 -2.54 0.20 0.72
09 58 06.24 +02 01 13.8 NL 0.62 I 44.25 0.28 0.65 9.03 0.33 0.35 -2.90 0.34 0.70
09 58 06.99 +02 22 48.5 BL 3.10 I 46.39 0.25 0.69 9.34 0.43 0.36 -1.06 0.31 0.68
09 58 09.45 +02 05 32.4 OD 0.61 I 44.00 0.33 0.48 9.26 0.29 0.43 -3.38 0.43 0.52
09 58 10.88 +01 40 05.1 BL 2.10 Z 46.42 0.17 0.68 8.37 0.35 0.51 -0.06 0.45 0.68
09 58 15.50 +01 49 23.2 BL 1.51 S 46.66 0.38 0.76 8.60 0.33 0.37 -0.05 0.49 0.77
09 58 15.51 +01 49 23.1 BL 1.51 Z 46.68 0.32 0.80 8.66 0.49 0.42 -0.09 0.50 0.95
09 58 15.53 +01 58 40.5 BL 1.68 I 45.68 0.23 0.49 7.93 0.38 0.44 -0.36 0.39 0.48
09 58 17.26 +02 33 16.2 BL 1.57 I 45.07 0.47 0.71 8.29 0.35 0.40 -1.34 0.42 0.63
09 58 17.54 +02 19 38.5 BL 0.73 Z 44.99 0.34 0.72 7.72 0.48 0.34 -0.84 0.25 0.81
09 58 18.15 +02 34 32.4 BL 1.17 Z 45.75 0.27 0.31 8.45 0.44 0.32 -0.81 0.33 0.54
09 58 19.88 +02 29 03.6 BL 0.34 S 45.33 0.44 0.81 8.29 0.42 0.35 -1.07 0.44 0.81
09 58 20.44 +01 59 31.0 NL 0.98 I 44.55 0.07 0.67 8.87 0.43 0.26 -2.43 0.08 0.85
09 58 20.45 +02 03 04.0 BL 1.35 Z 45.79 0.16 0.79 8.65 0.38 0.41 -0.97 0.33 0.58
09 58 20.74 +01 46 09.5 NL 0.78 I 45.29 0.38 0.42 9.28 0.32 0.32 -2.11 0.36 0.45
