-20.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0   50.0
-19.0   4.32   4.76   5.18   5.13   5.58   6.76   6.94   6.77
-18.0   3.44   3.88   4.30   4.25   4.70   5.26   5.44   5.27
-17.0   2.81   3.25   3.67   3.62   4.07   4.38   4.56   4.39
-16.0   2.33   2.77   3.19   3.14   3.49   3.75   3.93   3.76
-15.0   1.93   2.37   2.71   2.66   3.11   3.27   3.45   3.28
-14.0   1.57   2.06   2.31   2.26   2.69   2.87   3.05   2.88
-13.0   1.18   1.70   2.02   1.90   2.17   2.58   2.76   2.59
-12.0   0.80   1.38   1.71   1.55   1.75   2.27   2.45   2.28
-11.0   0.46   1.09   1.41   1.11   1.38   1.97   2.15   1.98
-10.0   0.20   0.83   1.13   0.84   1.11   1.69   1.87   1.70
 -9.0  -0.02   0.62   0.88   0.63   0.90   1.44   1.62   1.45
 -8.0  -0.19   0.45   0.66   0.49   0.76   1.22   1.40   1.23
 -7.0  -0.31   0.32   0.49   0.38   0.65   1.05   1.23   1.06
 -6.0  -0.41   0.21   0.36   0.29   0.56   0.92   1.10   0.93
 -5.0  -0.48   0.13   0.26   0.21   0.48   0.82   1.00   0.83
 -4.0  -0.52   0.08   0.19   0.16   0.45   0.75   0.93   0.76
 -3.0  -0.53   0.04   0.14   0.12   0.42   0.70   0.88   0.71
 -2.0  -0.52   0.01   0.10   0.09   0.41   0.66   0.84   0.67
 -1.0  -0.50   0.00   0.08   0.07   0.41   0.64   0.82   0.65
  0.0  -0.45   0.00   0.06   0.07   0.42   0.62   0.80   0.63
  1.0  -0.40   0.02   0.06   0.04   0.42   0.64   0.82   0.65
  2.0  -0.34   0.04   0.05   0.02   0.43   0.66   0.84   0.67
  3.0  -0.27   0.07   0.06   0.02   0.45   0.68   0.86   0.69
  4.0  -0.19   0.11   0.06   0.03   0.48   0.70   0.88   0.71
  5.0  -0.10   0.16   0.08   0.05   0.53   0.72   0.90   0.73
  6.0   0.00   0.22   0.10   0.10   0.58   0.74   0.92   0.75
  7.0   0.12   0.29   0.13   0.17   0.64   0.76   0.94   0.77
  8.0   0.24   0.37   0.17   0.24   0.71   0.78   0.96   0.79
  9.0   0.38   0.46   0.22   0.32   0.79   0.80   0.98   0.81
 10.0   0.52   0.55   0.27   0.41   0.87   0.82   1.00   0.83
 11.0   0.66   0.64   0.33   0.46   0.89   1.03   1.03   0.89
 12.0   0.80   0.74   0.38   0.51   0.91   1.24   1.05   0.95
 13.0   0.94   0.84   0.44   0.56   0.94   1.44   1.08   1.02
 14.0   1.08   0.95   0.49   0.61   0.97   1.65   1.10   1.08
 15.0   1.22   1.05   0.53   0.67   1.00   1.86   1.13   1.14
 16.0   1.36   1.16   0.58   0.67   0.95   1.94   1.09   1.09
 17.0   1.50   1.27   0.63   0.67   0.91   2.02   1.05   1.04
 18.0   1.64   1.38   0.67   0.67   0.87   2.10   1.01   1.00
 19.0   1.78   1.49   0.72   0.67   0.82   2.18   0.97   0.95
 20.0   1.92   1.59   0.76   0.66   0.77   2.26   0.93   0.90
 21.0   2.04   1.69   0.81   0.70   0.77   2.21   0.89   0.85
 22.0   2.15   1.80   0.86   0.73   0.76   2.16   0.84   0.80
 23.0   2.25   1.89   0.92   0.76   0.75   2.11   0.80   0.75
 24.0   2.34   1.99   0.97   0.78   0.74   2.03   0.77   0.74
 25.0   2.42   2.08   1.03   0.81   0.72   1.94   0.73   0.73
 26.0   2.49   2.17   1.13   0.87   0.76   1.86   0.70   0.72
 27.0   2.55   2.25   1.22   0.93   0.79   1.77   0.67   0.71
 28.0   2.60   2.34   1.33   0.99   0.82   1.69   0.64   0.70
 29.0   2.64   2.41   1.41   1.04   0.85   1.60   0.60   0.69
 30.0   2.68   2.49   1.50   1.09   0.87   1.52   0.57   0.68
 31.0   2.71   2.55   1.57   1.17   0.96   1.54   0.63   0.74
 32.0   2.74   2.62   1.65   1.24   1.06   1.57   0.69   0.81
 33.0   2.76   2.68   1.73   1.30   1.14   1.60   0.75   0.87
 34.0   2.78   2.73   1.79   1.37   1.23   1.62   0.81   0.94
 35.0   2.80   2.78   1.85   1.42   1.30   1.64   0.88   1.00
 36.0   2.83   2.83   1.91   1.48   1.37   1.67   0.94   1.07
 37.0   2.85   2.87   1.96   1.53   1.44   1.69   1.00   1.13
 38.0   2.87   2.91   2.01   1.58   1.51   1.72   1.06   1.20
 39.0   2.89   2.95   2.07   1.63   1.57   1.82   1.11   1.26
 40.0   2.92   2.99   2.12   1.67   1.63   1.93   1.17   1.33
 41.0   2.94   3.02   2.16   1.72   1.68   2.03   1.23   1.38
 42.0   2.96   3.06   2.21   1.76   1.73   2.13   1.29   1.44
 43.0   2.98   3.09   2.25   1.81   1.78   2.22   1.34   1.49
 44.0   3.01   3.12   2.29   1.84   1.83   2.32   1.40   1.55
 45.0   3.03   3.15   2.34   1.88   1.88   2.42   1.46   1.60
 46.0   3.05   3.17   2.37   1.91   1.91   2.52   1.52   1.66
 47.0   3.07   3.20   2.41   1.94   1.94   2.62   1.58   1.72
 48.0   3.10   3.22   2.44   1.96   1.97   2.71   1.63   1.77
 49.0   3.12   3.23   2.46   1.99   2.00   2.81   1.69   1.82
 50.0   3.14   3.25   2.50   2.02   2.03   2.91   1.75   1.88
 51.0   3.15   3.26   2.52   2.05   2.07   2.97   1.79   1.92
 52.0   3.17   3.28   2.55   2.09   2.11   3.03   1.83   1.96
 53.0   3.19   3.30   2.58   2.12   2.15   3.09   1.87   2.00
 54.0   3.20   3.31   2.60   2.16   2.19   3.15   1.91   2.04
 55.0   3.22   3.33   2.63   2.19   2.23   3.21   1.95   2.08
 56.0   3.24   3.35   2.67   2.23   2.27   3.27   1.99   2.12
 57.0   3.25   3.36   2.69   2.26   2.31   3.33   2.03   2.16
 58.0   3.27   3.38   2.72   2.30   2.36   3.39   2.07   2.20
 59.0   3.29   3.40   2.75   2.33   2.40   3.45   2.11   2.24
 60.0   3.30   3.41   2.77   2.37   2.44   3.51   2.15   2.28
 61.0   3.32   3.43   2.81   2.39   2.46   3.57   2.19   2.32
 62.0   3.34   3.45   2.84   2.40   2.48   3.63   2.22   2.35
 63.0   3.35   3.46   2.86   2.42   2.49   3.69   2.26   2.39
 64.0   3.37   3.48   2.89   2.44   2.51   3.75   2.30   2.42
 65.0   3.39   3.50   2.92   2.45   2.53   3.81   2.33   2.46
 66.0   3.40   3.51   2.94   2.47   2.54   3.88   2.37   2.50
 67.0   3.42   3.53   2.98   2.49   2.56   3.94   2.41   2.53
 68.0   3.44   3.55   3.01   2.50   2.58   4.00   2.45   2.57
 69.0   3.45   3.56   3.03   2.52   2.59   4.06   2.48   2.60
 70.0   3.47   3.58   3.06   2.54   2.61   4.12   2.52   2.64
