# exp(-x**2/30) Function Points
-2.00000e+01,4.85879e-05
-1.78947e+01,6.94127e-04
-1.57895e+01,7.37948e-03
-1.36842e+01,5.83834e-02
-1.15789e+01,3.43740e-01
-9.47368e+00,1.50608e+00
-7.36842e+00,4.91067e+00
-5.26316e+00,1.19155e+01
-3.15789e+00,2.15158e+01
-1.05263e+00,2.89122e+01
1.05263e+00,2.89122e+01
3.15789e+00,2.15158e+01
5.26316e+00,1.19155e+01
7.36842e+00,4.91067e+00
9.47368e+00,1.50608e+00
1.15789e+01,3.43740e-01
1.36842e+01,5.83834e-02
1.57895e+01,7.37948e-03
1.78947e+01,6.94127e-04
2.00000e+01,4.85879e-05
