SDSS J000011.97+000225.1 0.4790  2290 290 8.17       nd 
SDSS J000710.02+005329.0 0.3164 11158 271 9.56  0.27         
SDSS J001327.31+005232.0 0.3626  1549 183 7.71       nd 
SDSS J001903.17+000659.1 0.0726  3283  90 8.10       nd 
SDSS J002444.11+003221.4 0.4004  9159 180 9.56  1.42 :        
SDSS J003238.20-010035.3 0.0919  1919  73 7.10       nd 
SDSS J003431.74-001312.7 0.3811  1197 223 7.39       nd 
SDSS J003723.50+000812.6 0.2518  2598 196 7.85       nd 
SDSS J003847.98+003457.5 0.0806  7141 161 8.33  0.65         
SDSS J010342.73+002537.3 0.3938  2123 180 8.07       nd 
SDSS J010939.02+005950.4 0.0929  2765 144 7.63  0.29         
SDSS J011254.92+000313.0 0.2385  3135 177 8.04       nd 
SDSS J011448.68-002946.1 0.0338  3450 109 7.61  0.62 :        
SDSS J011703.58+000027.4 0.0456  2685 136 7.57 -0.36        
SDSS J011929.06-000839.8 0.0901   666 202 6.17       nd 
SDSS J012159.82-010224.5 0.0544  4097 194 7.97  0.26         
SDSS J013418.19+001536.7 0.3989  4085 290 8.85       nd 
SDSS J013521.68-004402.1 0.0984  1555 290 7.21  0.44         
SDSS J013527.85-004447.9 0.0805  3314 124 7.93       nd 
SDSS J014017.07-005003.0 0.3346  4789 164 8.98       nd 
SDSS J014238.48+000514.7 0.1458  2783 121 7.68       nd 
SDSS J014644.82-004043.1 0.0827   969  87 6.80  0.54         
SDSS J015910.06+010514.5 0.2174  3326 269 8.15       nd 
SDSS J015950.24+002340.9 0.1626  1956 292 7.91  1.04         
SDSS J020615.99-001729.2 0.0427  6887 169 8.45  0.06         
SDSS J021359.79+004226.8 0.1821  4592 207 8.28  0.97         
SDSS J023335.38-010744.7 0.3679  2444 247 8.00       nd 
SDSS J024651.91-005931.0 0.4681  1426  77 7.96  0.41 :        
SDSS J025007.03+002525.4 0.1977  2086 112 7.56       nd 
SDSS J025505.67+002523.0 0.3541  4715 229 8.63       nd 
SDSS J025646.97+011349.4 0.1766  2512 226 7.73       nd 
SDSS J030124.26+011022.9 0.0715  3073 183 7.57       nd 
SDSS J030144.20+011530.9 0.0747  4221 215 7.93       nd 
SDSS J030417.78+002827.3 0.0445  1173  94 6.58       nd 
SDSS J030639.58+000343.1 0.1073  2567 196 7.75  0.66         
SDSS J031027.83-004950.8 0.0804  3073  66 7.75       nd 
SDSS J031427.47-011152.4 0.3869  1660 188 7.77       nd 
SDSS J032205.05+001201.4 0.4719  3604 247 8.76       nd 
SDSS J032205.05+001201.4 0.4717  3789 255 8.80       nd 
SDSS J032213.90+005513.5 0.1851  2339 118 8.06       nd 
SDSS J032337.65+003555.6 0.2154  1395 194 7.28       nd 
SDSS J032559.97+000800.7 0.3606 12380 175 9.57       nd 
SDSS J032729.89-005958.4 0.1340  6381 164 8.61       nd 
SDSS J034226.50-000427.1 0.3762  2573 239 8.18       nd 
SDSS J101044.51+004331.2 0.1780  6221 177 8.85 -0.29        
SDSS J101314.87-005233.6 0.2759  1506 368 7.44       nd 
SDSS J102448.57+003537.9 0.0954  1481  90 7.04       nd 
SDSS J102936.10-010201.0 0.1398  5894 199 8.35       nd 
SDSS J103457.29-010209.1 0.3280  1216 124 7.40       nd 
SDSS J104230.14+010223.7 0.1155   673 166 6.53       nd 
SDSS J104332.88+010108.9 0.0719  2499 109 7.55       nd 
SDSS J105706.94-004145.1 0.1876  1784 169 7.50       nd 
